18:11:40.662 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:11:40.771 INFO  ExecHelper - Result: 0
18:11:41.659 INFO  ReductionDriver - Starting reduction for variant_574
18:11:41.676 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574/variant_574.json
18:11:41.677 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:11:41.677 INFO  ExecHelper - Result: 127
18:11:41.677 INFO  CustomFileJudge - Custom file judge result: 127
18:11:41.677 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:11:41.684 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574/variant_574.json
18:11:41.685 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:11:41.686 INFO  ExecHelper - Result: 127
18:11:41.686 INFO  CustomFileJudge - Custom file judge result: 127
18:11:41.686 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:11:41.692 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574/variant_574.json
18:11:41.694 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:11:41.694 INFO  ExecHelper - Result: 127
18:11:41.694 INFO  CustomFileJudge - Custom file judge result: 127
18:11:41.694 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:11:41.699 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574/variant_574.json
18:11:41.701 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:11:41.701 INFO  ExecHelper - Result: 127
18:11:41.701 INFO  CustomFileJudge - Custom file judge result: 127
18:11:41.701 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:11:41.707 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574/variant_574.json
18:11:41.708 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:11:41.708 INFO  ExecHelper - Result: 127
18:11:41.708 INFO  CustomFileJudge - Custom file judge result: 127
18:11:41.708 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:11:41.708 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_branch_syn_relax/variant_574 /opt/reduce/cezanne_radeon_vega/syn_branch_syn_relax/variant_574.comp
