18:12:53.068 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:12:53.212 INFO  ExecHelper - Result: 0
18:12:53.817 INFO  ReductionDriver - Starting reduction for variant_728
18:12:53.830 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728/variant_728.json
18:12:53.832 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:12:53.832 INFO  ExecHelper - Result: 127
18:12:53.832 INFO  CustomFileJudge - Custom file judge result: 127
18:12:53.832 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:12:53.837 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728/variant_728.json
18:12:53.838 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:12:53.838 INFO  ExecHelper - Result: 127
18:12:53.838 INFO  CustomFileJudge - Custom file judge result: 127
18:12:53.838 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:12:53.842 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728/variant_728.json
18:12:53.843 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:12:53.843 INFO  ExecHelper - Result: 127
18:12:53.843 INFO  CustomFileJudge - Custom file judge result: 127
18:12:53.843 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:12:53.847 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728/variant_728.json
18:12:53.848 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:12:53.848 INFO  ExecHelper - Result: 127
18:12:53.848 INFO  CustomFileJudge - Custom file judge result: 127
18:12:53.848 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:12:53.852 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728/variant_728.json
18:12:53.854 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:12:53.854 INFO  ExecHelper - Result: 127
18:12:53.854 INFO  CustomFileJudge - Custom file judge result: 127
18:12:53.854 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:12:53.855 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_lock_step/variant_728 /opt/reduce/cezanne_radeon_vega/syn_lock_step/variant_728.comp
